alert,method,operating_point,threshold,chosen_on,validation_false_alarms_per_day,scope,n_flares,warned,detection_rate,chance_rate,event_TSS,false_alarms_per_day_test,alert_on_fraction_test,median_lead_min,q25_lead_min,q75_lead_min,lead_ge_5min,lead_ge_10min,note,mean_lead_min,p10_lead_min,p90_lead_min,median_lead_min_all,mean_lead_min_all,p10_lead_min_all,q25_lead_min_all,q75_lead_min_all,p90_lead_min_all
GOES >= C1 flare within 15 min,network (E4),best_TSS,0.18,validation,,all flares,968,966,0.998,0.487,0.511,13.808,0.1409,20.0,8.0,34.0,0.827,0.714,,,,,,,,,,
GOES >= C1 flare within 15 min,network (E4),best_TSS,0.18,validation,,GOES class C,854,,0.998,,,,,19.0,,,,,,,,,,,,,,
GOES >= C1 flare within 15 min,network (E4),best_TSS,0.18,validation,,GOES class M,110,,1.0,,,,,33.5,,,,,,,,,,,,,,
GOES >= C1 flare within 15 min,network (E4),best_TSS,0.18,validation,,GOES class X,4,,1.0,,,,,40.0,,,,,fewer than 20 flares: indicative only,,,,,,,,,
GOES >= C1 flare within 15 min,network (E4),fa_1,0.7894,validation,0.86,all flares,968,761,0.786,0.02,0.766,0.493,0.0398,5.0,1.0,14.0,0.403,0.27,,,,,,,,,,
GOES >= C1 flare within 15 min,network (E4),fa_1,0.7894,validation,0.86,GOES class C,854,,0.761,,,,,4.0,,,,,,,,,,,,,,
GOES >= C1 flare within 15 min,network (E4),fa_1,0.7894,validation,0.86,GOES class M,110,,0.973,,,,,12.0,,,,,,,,,,,,,,
GOES >= C1 flare within 15 min,network (E4),fa_1,0.7894,validation,0.86,GOES class X,4,,1.0,,,,,7.0,,,,,fewer than 20 flares: indicative only,,,,,,,,,
GOES >= C1 flare within 15 min,network (E4),fa_2,0.669,validation,1.752,all flares,968,876,0.905,0.061,0.844,1.471,0.0527,6.0,1.0,16.0,0.491,0.346,,10.79,0.0,31.0,6.0,10.79,0.0,1.0,16.0,31.0
GOES >= C1 flare within 15 min,network (E4),fa_2,0.669,validation,1.752,GOES class C,854,,0.893,,,,,5.0,,,,,,,,,,,,,,
GOES >= C1 flare within 15 min,network (E4),fa_2,0.669,validation,1.752,GOES class M,110,,0.991,,,,,15.0,,,,,,,,,,,,,,
GOES >= C1 flare within 15 min,network (E4),fa_2,0.669,validation,1.752,GOES class X,4,,1.0,,,,,8.0,,,,,fewer than 20 flares: indicative only,,,,,,,,,
GOES >= C1 flare within 15 min,network (E4),fa_5,0.4261,validation,4.615,all flares,968,940,0.971,0.162,0.809,3.842,0.0687,8.0,2.0,20.0,0.583,0.438,,,,,,,,,,
GOES >= C1 flare within 15 min,network (E4),fa_5,0.4261,validation,4.615,GOES class C,854,,0.968,,,,,7.0,,,,,,,,,,,,,,
GOES >= C1 flare within 15 min,network (E4),fa_5,0.4261,validation,4.615,GOES class M,110,,0.991,,,,,20.0,,,,,,,,,,,,,,
GOES >= C1 flare within 15 min,network (E4),fa_5,0.4261,validation,4.615,GOES class X,4,,1.0,,,,,22.0,,,,,fewer than 20 flares: indicative only,,,,,,,,,
GOES >= C1 flare within 15 min,SoLEXS trend (15-min extrapolation),best_TSS,-5.7849,validation,,all flares,968,968,1.0,0.559,0.441,10.952,0.2024,20.0,8.0,35.0,0.836,0.706,,,,,,,,,,
GOES >= C1 flare within 15 min,SoLEXS trend (15-min extrapolation),best_TSS,-5.7849,validation,,GOES class C,854,,1.0,,,,,18.0,,,,,,,,,,,,,,
GOES >= C1 flare within 15 min,SoLEXS trend (15-min extrapolation),best_TSS,-5.7849,validation,,GOES class M,110,,1.0,,,,,36.5,,,,,,,,,,,,,,
GOES >= C1 flare within 15 min,SoLEXS trend (15-min extrapolation),best_TSS,-5.7849,validation,,GOES class X,4,,1.0,,,,,42.0,,,,,fewer than 20 flares: indicative only,,,,,,,,,
GOES >= C1 flare within 15 min,SoLEXS trend (15-min extrapolation),fa_1,-5.0158,validation,0.86,all flares,968,660,0.682,0.044,0.638,0.732,0.0261,3.0,1.0,11.0,0.299,0.195,,,,,,,,,,
GOES >= C1 flare within 15 min,SoLEXS trend (15-min extrapolation),fa_1,-5.0158,validation,0.86,GOES class C,854,,0.639,,,,,2.0,,,,,,,,,,,,,,
GOES >= C1 flare within 15 min,SoLEXS trend (15-min extrapolation),fa_1,-5.0158,validation,0.86,GOES class M,110,,1.0,,,,,12.0,,,,,,,,,,,,,,
GOES >= C1 flare within 15 min,SoLEXS trend (15-min extrapolation),fa_1,-5.0158,validation,0.86,GOES class X,4,,1.0,,,,,18.5,,,,,fewer than 20 flares: indicative only,,,,,,,,,
GOES >= C1 flare within 15 min,SoLEXS trend (15-min extrapolation),fa_2,-5.1864,validation,1.982,all flares,968,773,0.799,0.086,0.713,1.391,0.0404,4.0,1.0,15.0,0.396,0.276,,10.13,0.0,31.0,4.0,10.13,0.0,1.0,15.0,31.0
GOES >= C1 flare within 15 min,SoLEXS trend (15-min extrapolation),fa_2,-5.1864,validation,1.982,GOES class C,854,,0.772,,,,,3.0,,,,,,,,,,,,,,
GOES >= C1 flare within 15 min,SoLEXS trend (15-min extrapolation),fa_2,-5.1864,validation,1.982,GOES class M,110,,1.0,,,,,15.5,,,,,,,,,,,,,,
GOES >= C1 flare within 15 min,SoLEXS trend (15-min extrapolation),fa_2,-5.1864,validation,1.982,GOES class X,4,,1.0,,,,,22.0,,,,,fewer than 20 flares: indicative only,,,,,,,,,
GOES >= C1 flare within 15 min,SoLEXS trend (15-min extrapolation),fa_5,-5.4123,validation,4.914,all flares,968,903,0.933,0.173,0.76,2.943,0.0753,7.0,2.0,21.0,0.536,0.404,,,,,,,,,,
GOES >= C1 flare within 15 min,SoLEXS trend (15-min extrapolation),fa_5,-5.4123,validation,4.914,GOES class C,854,,0.924,,,,,6.0,,,,,,,,,,,,,,
GOES >= C1 flare within 15 min,SoLEXS trend (15-min extrapolation),fa_5,-5.4123,validation,4.914,GOES class M,110,,1.0,,,,,22.5,,,,,,,,,,,,,,
GOES >= C1 flare within 15 min,SoLEXS trend (15-min extrapolation),fa_5,-5.4123,validation,4.914,GOES class X,4,,1.0,,,,,38.5,,,,,fewer than 20 flares: indicative only,,,,,,,,,
GOES >= C1 flare within 15 min,SoLEXS flux now,best_TSS,-5.8226,validation,,all flares,968,826,0.853,0.307,0.546,1.325,0.1798,12.5,2.0,35.0,0.559,0.467,,,,,,,,,,
GOES >= C1 flare within 15 min,SoLEXS flux now,best_TSS,-5.8226,validation,,GOES class C,854,,0.834,,,,,10.0,,,,,,,,,,,,,,
GOES >= C1 flare within 15 min,SoLEXS flux now,best_TSS,-5.8226,validation,,GOES class M,110,,1.0,,,,,35.5,,,,,,,,,,,,,,
GOES >= C1 flare within 15 min,SoLEXS flux now,best_TSS,-5.8226,validation,,GOES class X,4,,1.0,,,,,42.0,,,,,fewer than 20 flares: indicative only,,,,,,,,,
GOES >= C1 flare within 15 min,SoLEXS flux now,fa_1,-5.4977,validation,0.945,all flares,968,438,0.452,0.106,0.346,0.3,0.0673,8.0,2.0,27.8,0.259,0.208,,,,,,,,,,
GOES >= C1 flare within 15 min,SoLEXS flux now,fa_1,-5.4977,validation,0.945,GOES class C,854,,0.379,,,,,5.0,,,,,,,,,,,,,,
GOES >= C1 flare within 15 min,SoLEXS flux now,fa_1,-5.4977,validation,0.945,GOES class M,110,,1.0,,,,,17.5,,,,,,,,,,,,,,
GOES >= C1 flare within 15 min,SoLEXS flux now,fa_1,-5.4977,validation,0.945,GOES class X,4,,1.0,,,,,30.5,,,,,fewer than 20 flares: indicative only,,,,,,,,,
GOES >= C1 flare within 15 min,SoLEXS flux now,fa_2,-5.6812,validation,1.976,all flares,968,610,0.63,0.179,0.451,0.679,0.1127,10.0,2.0,34.0,0.399,0.322,,16.46,0.0,39.1,10.0,16.46,0.0,2.0,34.0,39.1
GOES >= C1 flare within 15 min,SoLEXS flux now,fa_2,-5.6812,validation,1.976,GOES class C,854,,0.581,,,,,7.0,,,,,,,,,,,,,,
GOES >= C1 flare within 15 min,SoLEXS flux now,fa_2,-5.6812,validation,1.976,GOES class M,110,,1.0,,,,,24.5,,,,,,,,,,,,,,
GOES >= C1 flare within 15 min,SoLEXS flux now,fa_2,-5.6812,validation,1.976,GOES class X,4,,1.0,,,,,42.0,,,,,fewer than 20 flares: indicative only,,,,,,,,,
GOES >= C1 flare within 15 min,SoLEXS flux now,fa_5,-5.8937,validation,3.205,all flares,968,912,0.942,0.399,0.543,2.124,0.2301,15.0,3.0,36.0,0.669,0.568,,,,,,,,,,
GOES >= C1 flare within 15 min,SoLEXS flux now,fa_5,-5.8937,validation,3.205,GOES class C,854,,0.934,,,,,13.0,,,,,,,,,,,,,,
GOES >= C1 flare within 15 min,SoLEXS flux now,fa_5,-5.8937,validation,3.205,GOES class M,110,,1.0,,,,,37.0,,,,,,,,,,,,,,
GOES >= C1 flare within 15 min,SoLEXS flux now,fa_5,-5.8937,validation,3.205,GOES class X,4,,1.0,,,,,42.0,,,,,fewer than 20 flares: indicative only,,,,,,,,,
GOES >= C1 flare within 15 min,hot-onset trigger (SoLEXS),best_TSS,-0.5477,validation,,all flares,968,783,0.809,0.397,0.412,12.264,0.041,14.0,5.0,26.0,0.62,0.493,,,,,,,,,,
GOES >= C1 flare within 15 min,hot-onset trigger (SoLEXS),best_TSS,-0.5477,validation,,GOES class C,854,,0.795,,,,,13.0,,,,,,,,,,,,,,
GOES >= C1 flare within 15 min,hot-onset trigger (SoLEXS),best_TSS,-0.5477,validation,,GOES class M,110,,0.909,,,,,17.0,,,,,,,,,,,,,,
GOES >= C1 flare within 15 min,hot-onset trigger (SoLEXS),best_TSS,-0.5477,validation,,GOES class X,4,,1.0,,,,,30.5,,,,,fewer than 20 flares: indicative only,,,,,,,,,
GOES >= C1 flare within 15 min,hot-onset trigger (SoLEXS),fa_1,-99.0,validation,0.032,all flares,968,968,1.0,1.0,0.0,0.02,1.0,37.0,34.0,41.0,1.0,0.976,,,,,,,,,,
GOES >= C1 flare within 15 min,hot-onset trigger (SoLEXS),fa_1,-99.0,validation,0.032,GOES class C,854,,1.0,,,,,37.0,,,,,,,,,,,,,,
GOES >= C1 flare within 15 min,hot-onset trigger (SoLEXS),fa_1,-99.0,validation,0.032,GOES class M,110,,1.0,,,,,39.5,,,,,,,,,,,,,,
GOES >= C1 flare within 15 min,hot-onset trigger (SoLEXS),fa_1,-99.0,validation,0.032,GOES class X,4,,1.0,,,,,42.0,,,,,fewer than 20 flares: indicative only,,,,,,,,,
GOES >= C1 flare within 15 min,hot-onset trigger (SoLEXS),fa_2,-99.0,validation,0.032,all flares,968,968,1.0,1.0,0.0,0.02,1.0,37.0,34.0,41.0,1.0,0.976,,35.88,18.0,46.0,37.0,35.88,18.0,34.0,41.0,46.0
GOES >= C1 flare within 15 min,hot-onset trigger (SoLEXS),fa_2,-99.0,validation,0.032,GOES class C,854,,1.0,,,,,37.0,,,,,,,,,,,,,,
GOES >= C1 flare within 15 min,hot-onset trigger (SoLEXS),fa_2,-99.0,validation,0.032,GOES class M,110,,1.0,,,,,39.5,,,,,,,,,,,,,,
GOES >= C1 flare within 15 min,hot-onset trigger (SoLEXS),fa_2,-99.0,validation,0.032,GOES class X,4,,1.0,,,,,42.0,,,,,fewer than 20 flares: indicative only,,,,,,,,,
GOES >= C1 flare within 15 min,hot-onset trigger (SoLEXS),fa_5,-99.0,validation,0.032,all flares,968,968,1.0,1.0,0.0,0.02,1.0,37.0,34.0,41.0,1.0,0.976,,,,,,,,,,
GOES >= C1 flare within 15 min,hot-onset trigger (SoLEXS),fa_5,-99.0,validation,0.032,GOES class C,854,,1.0,,,,,37.0,,,,,,,,,,,,,,
GOES >= C1 flare within 15 min,hot-onset trigger (SoLEXS),fa_5,-99.0,validation,0.032,GOES class M,110,,1.0,,,,,39.5,,,,,,,,,,,,,,
GOES >= C1 flare within 15 min,hot-onset trigger (SoLEXS),fa_5,-99.0,validation,0.032,GOES class X,4,,1.0,,,,,42.0,,,,,fewer than 20 flares: indicative only,,,,,,,,,
GOES >= C1 flare within 15 min,catalogue rise rule,fixed,0.5,validation,,all flares,968,724,0.748,0.134,0.614,4.061,0.0351,7.0,2.0,18.0,0.463,0.321,,,,,,,,,,
GOES >= C1 flare within 15 min,catalogue rise rule,fixed,0.5,validation,,GOES class C,854,,0.732,,,,,7.0,,,,,,,,,,,,,,
GOES >= C1 flare within 15 min,catalogue rise rule,fixed,0.5,validation,,GOES class M,110,,0.864,,,,,8.0,,,,,,,,,,,,,,
GOES >= C1 flare within 15 min,catalogue rise rule,fixed,0.5,validation,,GOES class X,4,,1.0,,,,,5.5,,,,,fewer than 20 flares: indicative only,,,,,,,,,
GOES >= C1 flare within 15 min,rise rule at >= C1 flux,fixed,0.5,validation,,all flares,968,689,0.712,0.087,0.625,1.644,0.0263,6.0,2.0,16.0,0.412,0.281,,,,,,,,,,
GOES >= C1 flare within 15 min,rise rule at >= C1 flux,fixed,0.5,validation,,GOES class C,854,,0.692,,,,,6.0,,,,,,,,,,,,,,
GOES >= C1 flare within 15 min,rise rule at >= C1 flux,fixed,0.5,validation,,GOES class M,110,,0.855,,,,,8.0,,,,,,,,,,,,,,
GOES >= C1 flare within 15 min,rise rule at >= C1 flux,fixed,0.5,validation,,GOES class X,4,,1.0,,,,,5.5,,,,,fewer than 20 flares: indicative only,,,,,,,,,
GOES flux reaches M1 within 30 min,network (E4),best_TSS,-5.5522,validation,,all flares,114,113,0.991,0.494,0.497,2.25,0.069,28.0,6.0,40.0,0.754,0.684,,,,,,,,,,
GOES flux reaches M1 within 30 min,network (E4),best_TSS,-5.5522,validation,,GOES class M,110,,0.991,,,,,26.0,,,,,,,,,,,,,,
GOES flux reaches M1 within 30 min,network (E4),best_TSS,-5.5522,validation,,GOES class X,4,,1.0,,,,,38.5,,,,,fewer than 20 flares: indicative only,,,,,,,,,
GOES flux reaches M1 within 30 min,network (E4),fa_0.25,-4.9686,validation,0.219,all flares,114,100,0.877,0.04,0.837,0.126,0.0074,5.0,2.0,13.0,0.465,0.281,,,,,,,,,,
GOES flux reaches M1 within 30 min,network (E4),fa_0.25,-4.9686,validation,0.219,GOES class M,110,,0.873,,,,,5.0,,,,,,,,,,,,,,
GOES flux reaches M1 within 30 min,network (E4),fa_0.25,-4.9686,validation,0.219,GOES class X,4,,1.0,,,,,4.0,,,,,fewer than 20 flares: indicative only,,,,,,,,,
GOES flux reaches M1 within 30 min,network (E4),fa_0.5,-5.0532,validation,0.459,all flares,114,105,0.921,0.08,0.841,0.326,0.0099,6.0,2.0,15.0,0.518,0.342,,11.3,0.0,36.6,6.0,11.3,0.0,2.0,15.0,36.6
GOES flux reaches M1 within 30 min,network (E4),fa_0.5,-5.0532,validation,0.459,GOES class M,110,,0.918,,,,,6.0,,,,,,,,,,,,,,
GOES flux reaches M1 within 30 min,network (E4),fa_0.5,-5.0532,validation,0.459,GOES class X,4,,1.0,,,,,5.0,,,,,fewer than 20 flares: indicative only,,,,,,,,,
GOES flux reaches M1 within 30 min,network (E4),fa_1,-5.1655,validation,0.983,all flares,114,109,0.956,0.144,0.812,0.679,0.0157,8.0,2.0,21.0,0.596,0.439,,,,,,,,,,
GOES flux reaches M1 within 30 min,network (E4),fa_1,-5.1655,validation,0.983,GOES class M,110,,0.955,,,,,8.0,,,,,,,,,,,,,,
GOES flux reaches M1 within 30 min,network (E4),fa_1,-5.1655,validation,0.983,GOES class X,4,,1.0,,,,,5.0,,,,,fewer than 20 flares: indicative only,,,,,,,,,
GOES flux reaches M1 within 30 min,network or SoLEXS flux now (E4),best_TSS,-5.5274,validation,,all flares,114,114,1.0,0.534,0.466,2.284,0.0764,28.0,5.0,40.0,0.754,0.702,,,,,,,,,,
GOES flux reaches M1 within 30 min,network or SoLEXS flux now (E4),best_TSS,-5.5274,validation,,GOES class M,110,,1.0,,,,,26.0,,,,,,,,,,,,,,
GOES flux reaches M1 within 30 min,network or SoLEXS flux now (E4),best_TSS,-5.5274,validation,,GOES class X,4,,1.0,,,,,37.0,,,,,fewer than 20 flares: indicative only,,,,,,,,,
GOES flux reaches M1 within 30 min,network or SoLEXS flux now (E4),fa_0.25,-4.953,validation,0.182,all flares,114,106,0.93,0.029,0.901,0.093,0.0086,4.0,1.0,12.0,0.447,0.281,,,,,,,,,,
GOES flux reaches M1 within 30 min,network or SoLEXS flux now (E4),fa_0.25,-4.953,validation,0.182,GOES class M,110,,0.927,,,,,4.0,,,,,,,,,,,,,,
GOES flux reaches M1 within 30 min,network or SoLEXS flux now (E4),fa_0.25,-4.953,validation,0.182,GOES class X,4,,1.0,,,,,4.0,,,,,fewer than 20 flares: indicative only,,,,,,,,,
GOES flux reaches M1 within 30 min,network or SoLEXS flux now (E4),fa_0.5,-5.0523,validation,0.497,all flares,114,112,0.982,0.103,0.879,0.399,0.0125,6.0,1.0,16.0,0.544,0.36,,11.76,0.0,38.9,6.0,11.76,0.0,1.0,16.0,38.9
GOES flux reaches M1 within 30 min,network or SoLEXS flux now (E4),fa_0.5,-5.0523,validation,0.497,GOES class M,110,,0.982,,,,,6.0,,,,,,,,,,,,,,
GOES flux reaches M1 within 30 min,network or SoLEXS flux now (E4),fa_0.5,-5.0523,validation,0.497,GOES class X,4,,1.0,,,,,5.0,,,,,fewer than 20 flares: indicative only,,,,,,,,,
GOES flux reaches M1 within 30 min,network or SoLEXS flux now (E4),fa_1,-5.1447,validation,0.961,all flares,114,113,0.991,0.149,0.842,0.646,0.0183,8.0,2.0,22.0,0.596,0.447,,,,,,,,,,
GOES flux reaches M1 within 30 min,network or SoLEXS flux now (E4),fa_1,-5.1447,validation,0.961,GOES class M,110,,0.991,,,,,8.0,,,,,,,,,,,,,,
GOES flux reaches M1 within 30 min,network or SoLEXS flux now (E4),fa_1,-5.1447,validation,0.961,GOES class X,4,,1.0,,,,,5.0,,,,,fewer than 20 flares: indicative only,,,,,,,,,
GOES flux reaches M1 within 30 min,SoLEXS trend (15-min extrapolation),best_TSS,-5.5004,validation,,all flares,114,114,1.0,0.69,0.31,9.208,0.0957,34.0,15.0,41.0,0.904,0.851,,,,,,,,,,
GOES flux reaches M1 within 30 min,SoLEXS trend (15-min extrapolation),best_TSS,-5.5004,validation,,GOES class M,110,,1.0,,,,,34.0,,,,,,,,,,,,,,
GOES flux reaches M1 within 30 min,SoLEXS trend (15-min extrapolation),best_TSS,-5.5004,validation,,GOES class X,4,,1.0,,,,,42.0,,,,,fewer than 20 flares: indicative only,,,,,,,,,
GOES flux reaches M1 within 30 min,SoLEXS trend (15-min extrapolation),fa_0.25,-3.3357,validation,0.246,all flares,114,72,0.632,0.011,0.621,0.386,0.0023,2.0,1.0,6.0,0.202,0.088,,,,,,,,,,
