experiment,population,head,target,horizon_min,event_class,split,n_samples,n_positive,n_days,decision_threshold,metric,value,ci95_low,ci95_high
E1,common,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,104186,8386,162,0.337,ROC_AUC,0.945792,0.9407,0.9508
E1,common,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,104186,8386,162,0.337,TSS,0.771079,0.7593,0.7828
E1,common,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,104186,8386,162,0.337,POD_recall,0.839733,,
E1,common,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,104186,8386,162,0.337,precision,0.517072,,
E1,common,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,104186,8386,162,0.337,F1,0.640036,,
E1,common,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,104186,8386,162,0.337,false_alarm_ratio,0.482928,,
E1,common,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,104186,8386,162,0.337,false_positive_rate,0.068653,,
E1,common,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,104186,8386,162,0.337,HSS,0.600204,,
E1,common,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,104186,8386,162,0.337,frequency_bias,1.624016,,
E1,common,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,104186,8386,162,0.337,accuracy,0.923973,,
E1,common,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,104186,8386,162,0.337,TP,7042.0,,
E1,common,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,104186,8386,162,0.337,FP,6577.0,,
E1,common,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,104186,8386,162,0.337,FN,1344.0,,
E1,common,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,104186,8386,162,0.337,TN,89223.0,,
E1,common,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,104186,8386,162,0.337,Brier_raw,0.059324,,
E1,common,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,104186,8386,162,0.337,BSS_raw,0.198453,,
E1,common,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,104186,8386,162,0.337,Brier_calibrated,0.029396,,
E1,common,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,104186,8386,162,0.337,BSS_calibrated,0.602823,0.5762,0.6252
