experiment,population,horizon_min,split,kind,units,n_samples,n_days,metric,value,ci95_low,ci95_high
E1,common,0,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",104186,162,MAE,0.04426,0.0418,0.0473
E1,common,0,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",104186,162,RMSE,0.056175,,
E1,common,0,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",104186,162,bias,0.0061,,
E1,common,0,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",104186,162,correlation,0.986516,,
E1,common,1,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",104143,162,MAE,0.045847,0.0434,0.0488
E1,common,1,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",104143,162,RMSE,0.058872,,
E1,common,1,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",104143,162,bias,0.008125,,
E1,common,1,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",104143,162,correlation,0.985604,,
E1,common,5,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",104047,162,MAE,0.055556,0.0531,0.0583
E1,common,5,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",104047,162,RMSE,0.083794,,
E1,common,5,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",104047,162,bias,-0.001146,,
E1,common,5,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",104047,162,correlation,0.968208,,
E1,common,15,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",103844,162,MAE,0.077199,0.0731,0.0812
E1,common,15,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",103844,162,RMSE,0.12978,,
E1,common,15,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",103844,162,bias,-0.005963,,
E1,common,15,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",103844,162,correlation,0.921016,,
E1,common,30,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",103557,162,MAE,0.098063,0.0922,0.1035
E1,common,30,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",103557,162,RMSE,0.16031,,
E1,common,30,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",103557,162,bias,0.004108,,
E1,common,30,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",103557,162,correlation,0.875661,,
E1,common,60,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",103070,162,MAE,0.118046,0.1112,0.1244
E1,common,60,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",103070,162,RMSE,0.185119,,
E1,common,60,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",103070,162,bias,0.008996,,
E1,common,60,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",103070,162,correlation,0.829558,,
E1,native,0,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",106570,162,MAE,0.044037,0.0417,0.0469
E1,native,0,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",106570,162,RMSE,0.055926,,
E1,native,0,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",106570,162,bias,0.00603,,
E1,native,0,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",106570,162,correlation,0.986996,,
E1,native,1,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",106527,162,MAE,0.045652,0.0432,0.0486
E1,native,1,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",106527,162,RMSE,0.058634,,
E1,native,1,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",106527,162,bias,0.007996,,
E1,native,1,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",106527,162,correlation,0.98611,,
E1,native,5,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",106431,162,MAE,0.055471,0.053,0.0582
E1,native,5,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",106431,162,RMSE,0.083758,,
E1,native,5,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",106431,162,bias,-0.001274,,
E1,native,5,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",106431,162,correlation,0.96909,,
E1,native,15,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",106228,162,MAE,0.077295,0.0734,0.0816
E1,native,15,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",106228,162,RMSE,0.129871,,
E1,native,15,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",106228,162,bias,-0.006145,,
E1,native,15,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",106228,162,correlation,0.923087,,
E1,native,30,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",105931,162,MAE,0.098215,0.0926,0.1037
E1,native,30,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",105931,162,RMSE,0.160265,,
E1,native,30,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",105931,162,bias,0.003889,,
E1,native,30,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",105931,162,correlation,0.879192,,
E1,native,60,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",105421,162,MAE,0.117986,0.1114,0.1245
E1,native,60,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",105421,162,RMSE,0.184888,,
E1,native,60,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",105421,162,bias,0.00873,,
E1,native,60,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",105421,162,correlation,0.835088,,
E2,common,0,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",104186,162,MAE,0.318233,0.2991,0.3397
E2,common,0,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",104186,162,RMSE,0.35403,,
E2,common,0,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",104186,162,bias,0.317622,,
E2,common,0,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",104186,162,correlation,0.888793,,
E2,common,1,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",104143,162,MAE,0.306375,0.2873,0.3278
E2,common,1,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",104143,162,RMSE,0.34363,,
E2,common,1,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",104143,162,bias,0.305239,,
E2,common,1,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",104143,162,correlation,0.889212,,
E2,common,5,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",104047,162,MAE,0.315914,0.297,0.3372
E2,common,5,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",104047,162,RMSE,0.353964,,
E2,common,5,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",104047,162,bias,0.31158,,
E2,common,5,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",104047,162,correlation,0.870476,,
E2,common,15,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",103844,162,MAE,0.336218,0.3173,0.3578
E2,common,15,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",103844,162,RMSE,0.377313,,
E2,common,15,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",103844,162,bias,0.322456,,
E2,common,15,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",103844,162,correlation,0.815414,,
E2,common,30,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",103557,162,MAE,0.337117,0.3184,0.3587
E2,common,30,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",103557,162,RMSE,0.381437,,
E2,common,30,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",103557,162,bias,0.313607,,
E2,common,30,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",103557,162,correlation,0.762034,,
E2,common,60,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",103070,162,MAE,0.350448,0.3318,0.3727
E2,common,60,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",103070,162,RMSE,0.396792,,
E2,common,60,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",103070,162,bias,0.318655,,
E2,common,60,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",103070,162,correlation,0.705582,,
E2,native,0,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",114785,171,MAE,0.323069,0.3036,0.3436
E2,native,0,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",114785,171,RMSE,0.359307,,
E2,native,0,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",114785,171,bias,0.322389,,
E2,native,0,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",114785,171,correlation,0.884218,,
E2,native,1,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",114738,171,MAE,0.31123,0.2917,0.3319
E2,native,1,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",114738,171,RMSE,0.34891,,
E2,native,1,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",114738,171,bias,0.310055,,
E2,native,1,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",114738,171,correlation,0.884734,,
E2,native,5,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",114637,171,MAE,0.320781,0.3013,0.3415
E2,native,5,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",114637,171,RMSE,0.359211,,
E2,native,5,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",114637,171,bias,0.316479,,
E2,native,5,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",114637,171,correlation,0.86591,,
E2,native,15,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",114424,171,MAE,0.34124,0.3221,0.3621
E2,native,15,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",114424,171,RMSE,0.382573,,
E2,native,15,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",114424,171,bias,0.327758,,
E2,native,15,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",114424,171,correlation,0.810662,,
E2,native,30,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",114117,171,MAE,0.342124,0.3233,0.3627
E2,native,30,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",114117,171,RMSE,0.386508,,
E2,native,30,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",114117,171,bias,0.319141,,
E2,native,30,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",114117,171,correlation,0.757399,,
E2,native,60,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",113600,171,MAE,0.3554,0.3363,0.3761
E2,native,60,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",113600,171,RMSE,0.401726,,
E2,native,60,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",113600,171,bias,0.324511,,
E2,native,60,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",113600,171,correlation,0.701358,,
E4,common,0,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",104186,162,MAE,0.044223,0.0414,0.0473
E4,common,0,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",104186,162,RMSE,0.056735,,
