experiment,population,head,target,horizon_min,event_class,split,n_samples,n_positive,n_days,decision_threshold,metric,value,ci95_low,ci95_high,instrument,coverage_group,kind,units
E1,SoLEXS input coverage 50-90%,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,480,11,18,0.337,ROC_AUC,0.972475,0.8265,0.9893,SoLEXS,50-90%,,
E1,SoLEXS input coverage 50-90%,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,480,11,18,0.337,TSS,0.762745,-0.0745,0.87,SoLEXS,50-90%,,
E1,SoLEXS input coverage 50-90%,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,480,11,18,0.337,POD_recall,0.818182,,,SoLEXS,50-90%,,
E1,SoLEXS input coverage 50-90%,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,480,11,18,0.337,precision,0.257143,,,SoLEXS,50-90%,,
E1,SoLEXS input coverage 50-90%,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,480,11,18,0.337,F1,0.391304,,,SoLEXS,50-90%,,
E1,SoLEXS input coverage 50-90%,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,480,11,18,0.337,false_alarm_ratio,0.742857,,,SoLEXS,50-90%,,
E1,SoLEXS input coverage 50-90%,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,480,11,18,0.337,false_positive_rate,0.055437,,,SoLEXS,50-90%,,
E1,SoLEXS input coverage 50-90%,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,480,11,18,0.337,HSS,0.36931,,,SoLEXS,50-90%,,
E1,SoLEXS input coverage 50-90%,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,480,11,18,0.337,frequency_bias,3.181818,,,SoLEXS,50-90%,,
E1,SoLEXS input coverage 50-90%,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,480,11,18,0.337,accuracy,0.941667,,,SoLEXS,50-90%,,
E1,SoLEXS input coverage 50-90%,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,480,11,18,0.337,TP,9.0,,,SoLEXS,50-90%,,
E1,SoLEXS input coverage 50-90%,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,480,11,18,0.337,FP,26.0,,,SoLEXS,50-90%,,
E1,SoLEXS input coverage 50-90%,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,480,11,18,0.337,FN,2.0,,,SoLEXS,50-90%,,
E1,SoLEXS input coverage 50-90%,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,480,11,18,0.337,TN,443.0,,,SoLEXS,50-90%,,
E1,SoLEXS input coverage 50-90%,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,480,11,18,0.337,Brier_raw,0.048241,,,SoLEXS,50-90%,,
E1,SoLEXS input coverage 50-90%,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,480,11,18,0.337,BSS_raw,-1.154456,,,SoLEXS,50-90%,,
E1,SoLEXS input coverage 50-90%,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,480,11,18,0.337,Brier_calibrated,0.017331,,,SoLEXS,50-90%,,
E1,SoLEXS input coverage 50-90%,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,480,11,18,0.337,BSS_calibrated,0.226009,-6.7561,0.6364,SoLEXS,50-90%,,
E1,SoLEXS input coverage 50-90%,flare_within_15min,flare starts or is in progress within the horizon,15,>=C1.0 (GOES-18 XRS flare list),test,480,27,18,0.411,ROC_AUC,0.925435,0.8264,0.9662,SoLEXS,50-90%,,
E1,SoLEXS input coverage 50-90%,flare_within_15min,flare starts or is in progress within the horizon,15,>=C1.0 (GOES-18 XRS flare list),test,480,27,18,0.411,TSS,0.435124,-0.0483,0.6524,SoLEXS,50-90%,,
E1,SoLEXS input coverage 50-90%,flare_within_15min,flare starts or is in progress within the horizon,15,>=C1.0 (GOES-18 XRS flare list),test,480,27,18,0.411,POD_recall,0.481481,,,SoLEXS,50-90%,,
E1,SoLEXS input coverage 50-90%,flare_within_15min,flare starts or is in progress within the horizon,15,>=C1.0 (GOES-18 XRS flare list),test,480,27,18,0.411,precision,0.382353,,,SoLEXS,50-90%,,
E1,SoLEXS input coverage 50-90%,flare_within_15min,flare starts or is in progress within the horizon,15,>=C1.0 (GOES-18 XRS flare list),test,480,27,18,0.411,F1,0.42623,,,SoLEXS,50-90%,,
E1,SoLEXS input coverage 50-90%,flare_within_15min,flare starts or is in progress within the horizon,15,>=C1.0 (GOES-18 XRS flare list),test,480,27,18,0.411,false_alarm_ratio,0.617647,,,SoLEXS,50-90%,,
E1,SoLEXS input coverage 50-90%,flare_within_15min,flare starts or is in progress within the horizon,15,>=C1.0 (GOES-18 XRS flare list),test,480,27,18,0.411,false_positive_rate,0.046358,,,SoLEXS,50-90%,,
E1,SoLEXS input coverage 50-90%,flare_within_15min,flare starts or is in progress within the horizon,15,>=C1.0 (GOES-18 XRS flare list),test,480,27,18,0.411,HSS,0.387844,,,SoLEXS,50-90%,,
E1,SoLEXS input coverage 50-90%,flare_within_15min,flare starts or is in progress within the horizon,15,>=C1.0 (GOES-18 XRS flare list),test,480,27,18,0.411,frequency_bias,1.259259,,,SoLEXS,50-90%,,
E1,SoLEXS input coverage 50-90%,flare_within_15min,flare starts or is in progress within the horizon,15,>=C1.0 (GOES-18 XRS flare list),test,480,27,18,0.411,accuracy,0.927083,,,SoLEXS,50-90%,,
E1,SoLEXS input coverage 50-90%,flare_within_15min,flare starts or is in progress within the horizon,15,>=C1.0 (GOES-18 XRS flare list),test,480,27,18,0.411,TP,13.0,,,SoLEXS,50-90%,,
E1,SoLEXS input coverage 50-90%,flare_within_15min,flare starts or is in progress within the horizon,15,>=C1.0 (GOES-18 XRS flare list),test,480,27,18,0.411,FP,21.0,,,SoLEXS,50-90%,,
E1,SoLEXS input coverage 50-90%,flare_within_15min,flare starts or is in progress within the horizon,15,>=C1.0 (GOES-18 XRS flare list),test,480,27,18,0.411,FN,14.0,,,SoLEXS,50-90%,,
E1,SoLEXS input coverage 50-90%,flare_within_15min,flare starts or is in progress within the horizon,15,>=C1.0 (GOES-18 XRS flare list),test,480,27,18,0.411,TN,432.0,,,SoLEXS,50-90%,,
E1,SoLEXS input coverage 50-90%,flare_within_15min,flare starts or is in progress within the horizon,15,>=C1.0 (GOES-18 XRS flare list),test,480,27,18,0.411,Brier_raw,0.112394,,,SoLEXS,50-90%,,
E1,SoLEXS input coverage 50-90%,flare_within_15min,flare starts or is in progress within the horizon,15,>=C1.0 (GOES-18 XRS flare list),test,480,27,18,0.411,BSS_raw,-1.117207,,,SoLEXS,50-90%,,
E1,SoLEXS input coverage 50-90%,flare_within_15min,flare starts or is in progress within the horizon,15,>=C1.0 (GOES-18 XRS flare list),test,480,27,18,0.411,Brier_calibrated,0.042813,,,SoLEXS,50-90%,,
E1,SoLEXS input coverage 50-90%,flare_within_15min,flare starts or is in progress within the horizon,15,>=C1.0 (GOES-18 XRS flare list),test,480,27,18,0.411,BSS_calibrated,0.193511,-1.0308,0.5602,SoLEXS,50-90%,,
