experiment,population,horizon_min,split,interval,nominal_coverage,n_samples,metric,value,ci95_low,ci95_high
E1,common,1,test,q10-q90,0.8,104143,coverage_raw,0.604265,,
E1,common,1,test,q10-q90,0.8,104143,width_raw_dex,0.101012,,
E1,common,1,test,q10-q90,0.8,104143,scale_from_validation,1.293672,,
E1,common,1,test,q10-q90,0.8,104143,coverage_scaled,0.736343,,
E1,common,1,test,q10-q90,0.8,104143,width_scaled_dex,0.130677,,
E1,common,1,test,q10-q90,0.8,104143,pinball_q10,0.011699,,
E1,common,1,test,q10-q90,0.8,104143,pinball_q50,0.022923,,
E1,common,1,test,q10-q90,0.8,104143,pinball_q90,0.010144,,
E1,common,5,test,q10-q90,0.8,104047,coverage_raw,0.670437,,
E1,common,5,test,q10-q90,0.8,104047,width_raw_dex,0.133639,,
E1,common,5,test,q10-q90,0.8,104047,scale_from_validation,1.214852,,
E1,common,5,test,q10-q90,0.8,104047,coverage_scaled,0.760925,,
E1,common,5,test,q10-q90,0.8,104047,width_scaled_dex,0.162352,,
E1,common,5,test,q10-q90,0.8,104047,pinball_q10,0.012885,,
E1,common,5,test,q10-q90,0.8,104047,pinball_q50,0.027778,,
E1,common,5,test,q10-q90,0.8,104047,pinball_q90,0.01483,,
E1,common,15,test,q10-q90,0.8,103844,coverage_raw,0.711808,,
E1,common,15,test,q10-q90,0.8,103844,width_raw_dex,0.198118,,
E1,common,15,test,q10-q90,0.8,103844,scale_from_validation,1.176724,,
E1,common,15,test,q10-q90,0.8,103844,coverage_scaled,0.775779,,
E1,common,15,test,q10-q90,0.8,103844,width_scaled_dex,0.23313,,
E1,common,15,test,q10-q90,0.8,103844,pinball_q10,0.016613,,
E1,common,15,test,q10-q90,0.8,103844,pinball_q50,0.0386,,
E1,common,15,test,q10-q90,0.8,103844,pinball_q90,0.024987,,
E1,common,30,test,q10-q90,0.8,103557,coverage_raw,0.683334,,
E1,common,30,test,q10-q90,0.8,103557,width_raw_dex,0.255058,,
E1,common,30,test,q10-q90,0.8,103557,scale_from_validation,1.260129,,
E1,common,30,test,q10-q90,0.8,103557,coverage_scaled,0.779291,,
E1,common,30,test,q10-q90,0.8,103557,width_scaled_dex,0.321406,,
E1,common,30,test,q10-q90,0.8,103557,pinball_q10,0.021541,,
E1,common,30,test,q10-q90,0.8,103557,pinball_q50,0.049031,,
E1,common,30,test,q10-q90,0.8,103557,pinball_q90,0.033072,,
E1,common,60,test,q10-q90,0.8,103070,coverage_raw,0.678054,,
E1,common,60,test,q10-q90,0.8,103070,width_raw_dex,0.321506,,
E1,common,60,test,q10-q90,0.8,103070,scale_from_validation,1.262442,,
E1,common,60,test,q10-q90,0.8,103070,coverage_scaled,0.775318,,
E1,common,60,test,q10-q90,0.8,103070,width_scaled_dex,0.405883,,
E1,common,60,test,q10-q90,0.8,103070,pinball_q10,0.025688,,
E1,common,60,test,q10-q90,0.8,103070,pinball_q50,0.059023,,
E1,common,60,test,q10-q90,0.8,103070,pinball_q90,0.040194,,
E1,native,1,test,q10-q90,0.8,106527,coverage_raw,0.606391,,
E1,native,1,test,q10-q90,0.8,106527,width_raw_dex,0.100924,,
E1,native,1,test,q10-q90,0.8,106527,scale_from_validation,1.293672,,
E1,native,1,test,q10-q90,0.8,106527,coverage_scaled,0.738874,,
E1,native,1,test,q10-q90,0.8,106527,width_scaled_dex,0.130563,,
E1,native,1,test,q10-q90,0.8,106527,pinball_q10,0.01163,,
E1,native,1,test,q10-q90,0.8,106527,pinball_q50,0.022826,,
E1,native,1,test,q10-q90,0.8,106527,pinball_q90,0.01008,,
E1,native,5,test,q10-q90,0.8,106431,coverage_raw,0.672154,,
E1,native,5,test,q10-q90,0.8,106431,width_raw_dex,0.133755,,
E1,native,5,test,q10-q90,0.8,106431,scale_from_validation,1.214852,,
E1,native,5,test,q10-q90,0.8,106431,coverage_scaled,0.762419,,
E1,native,5,test,q10-q90,0.8,106431,width_scaled_dex,0.162492,,
