experiment,population,head,horizon_min,probability,bin_low,bin_high,n_samples,mean_forecast,observed_frequency
E1,common,in_flare,0,raw,0.0,0.1,6975,0.085341,0.003011
E1,common,in_flare,0,raw,0.1,0.2,50474,0.151664,0.006716
E1,common,in_flare,0,raw,0.2,0.3,29024,0.240172,0.025014
E1,common,in_flare,0,raw,0.3,0.4,7536,0.339074,0.086385
E1,common,in_flare,0,raw,0.4,0.5,2660,0.444282,0.248496
E1,common,in_flare,0,raw,0.5,0.6,1535,0.548806,0.458632
E1,common,in_flare,0,raw,0.6,0.7,1340,0.648594,0.68209
E1,common,in_flare,0,raw,0.7,0.8,1442,0.752848,0.855756
E1,common,in_flare,0,raw,0.8,0.9,2145,0.853475,0.970163
E1,common,in_flare,0,raw,0.9,1.0,1055,0.925675,1.0
E1,common,in_flare,0,calibrated,0.0,0.1,90565,0.018131,0.01484
E1,common,in_flare,0,calibrated,0.1,0.2,3305,0.127991,0.111346
E1,common,in_flare,0,calibrated,0.2,0.3,1658,0.218839,0.203257
E1,common,in_flare,0,calibrated,0.3,0.4,1114,0.34273,0.305206
E1,common,in_flare,0,calibrated,0.4,0.5,790,0.461823,0.420253
E1,common,in_flare,0,calibrated,0.5,0.6,581,0.56365,0.46988
E1,common,in_flare,0,calibrated,0.6,0.7,202,0.632649,0.554455
E1,common,in_flare,0,calibrated,0.7,0.8,938,0.734043,0.664179
E1,common,in_flare,0,calibrated,0.8,0.9,946,0.845998,0.770613
E1,common,in_flare,0,calibrated,0.9,1.0,4087,0.969362,0.961096
E1,common,flare_within_15min,15,raw,0.1,0.2,1714,0.191575,0.028588
E1,common,flare_within_15min,15,raw,0.2,0.3,34019,0.257837,0.039889
E1,common,flare_within_15min,15,raw,0.3,0.4,50603,0.347529,0.091141
E1,common,flare_within_15min,15,raw,0.4,0.5,9462,0.431236,0.198161
E1,common,flare_within_15min,15,raw,0.5,0.6,2053,0.545675,0.44715
E1,common,flare_within_15min,15,raw,0.6,0.7,1542,0.649623,0.662776
E1,common,flare_within_15min,15,raw,0.7,0.8,1637,0.753529,0.863775
E1,common,flare_within_15min,15,raw,0.8,0.9,2545,0.852837,0.977996
E1,common,flare_within_15min,15,raw,0.9,1.0,611,0.917883,1.0
E1,common,flare_within_15min,15,calibrated,0.0,0.1,56308,0.068635,0.051982
E1,common,flare_within_15min,15,calibrated,0.1,0.2,34965,0.130431,0.111197
E1,common,flare_within_15min,15,calibrated,0.2,0.3,2896,0.228989,0.200967
E1,common,flare_within_15min,15,calibrated,0.3,0.4,2046,0.342694,0.315249
E1,common,flare_within_15min,15,calibrated,0.4,0.5,391,0.447768,0.421995
E1,common,flare_within_15min,15,calibrated,0.5,0.6,935,0.572375,0.464171
E1,common,flare_within_15min,15,calibrated,0.6,0.7,658,0.653337,0.551672
E1,common,flare_within_15min,15,calibrated,0.7,0.8,1016,0.773457,0.687008
E1,common,flare_within_15min,15,calibrated,0.8,0.9,1149,0.870563,0.818973
E1,common,flare_within_15min,15,calibrated,0.9,1.0,3822,0.972556,0.969126
E1,common,flare_within_30min,30,raw,0.1,0.2,1,0.195271,0.0
E1,common,flare_within_30min,30,raw,0.2,0.3,14282,0.270963,0.054334
E1,common,flare_within_30min,30,raw,0.3,0.4,44140,0.353871,0.115904
E1,common,flare_within_30min,30,raw,0.4,0.5,36072,0.435215,0.186322
E1,common,flare_within_30min,30,raw,0.5,0.6,3114,0.538434,0.429994
E1,common,flare_within_30min,30,raw,0.6,0.7,1710,0.647752,0.672515
E1,common,flare_within_30min,30,raw,0.7,0.8,1735,0.752531,0.863977
E1,common,flare_within_30min,30,raw,0.8,0.9,2586,0.852047,0.978732
E1,common,flare_within_30min,30,raw,0.9,1.0,546,0.917058,1.0
E1,common,flare_within_30min,30,calibrated,0.0,0.1,14410,0.063197,0.054545
E1,common,flare_within_30min,30,calibrated,0.1,0.2,57895,0.157989,0.124864
E1,common,flare_within_30min,30,calibrated,0.2,0.3,20703,0.232336,0.20113
E1,common,flare_within_30min,30,calibrated,0.3,0.4,1784,0.349915,0.304933
E1,common,flare_within_30min,30,calibrated,0.4,0.5,1549,0.436423,0.384764
E1,common,flare_within_30min,30,calibrated,0.5,0.6,951,0.572782,0.486856
E1,common,flare_within_30min,30,calibrated,0.6,0.7,471,0.626649,0.545648
E1,common,flare_within_30min,30,calibrated,0.7,0.8,971,0.74041,0.650875
E1,common,flare_within_30min,30,calibrated,0.8,0.9,1047,0.840862,0.762178
E1,common,flare_within_30min,30,calibrated,0.9,1.0,4405,0.968046,0.955505
