experiment,grouped by,coverage,windows,flare windows,days,AUC in progress,TSS in progress,AUC within 15 min,MAE flux +15 min (dex),note
E1,SoLEXS input coverage,50-90%,480,11,18,"0.972 [0.827, 0.989]","0.763 [-0.074, 0.870]","0.925 [0.826, 0.966]","0.070 [0.058, 0.083]",fewer than 30 flare windows: indicative only
E1,SoLEXS input coverage,90-<100%,1026,111,26,"0.945 [0.921, 0.961]","0.751 [0.698, 0.809]","0.754 [0.677, 0.846]","0.102 [0.072, 0.128]",
E1,SoLEXS input coverage,100%,105064,8557,162,"0.946 [0.941, 0.951]","0.772 [0.760, 0.783]","0.811 [0.797, 0.826]","0.077 [0.073, 0.082]",
E2,HEL1OS input coverage,50-90%,496,7,15,"0.859 [0.854, 0.864]","0.779 [-0.098, 0.809]","0.690 [0.327, 0.779]","0.323 [0.259, 0.413]",fewer than 30 flare windows: indicative only
E2,HEL1OS input coverage,90-<100%,13771,1215,159,"0.925 [0.910, 0.937]","0.736 [0.693, 0.771]","0.767 [0.736, 0.798]","0.338 [0.314, 0.364]",
E2,HEL1OS input coverage,100%,100518,7999,170,"0.917 [0.910, 0.923]","0.721 [0.702, 0.740]","0.760 [0.749, 0.771]","0.342 [0.323, 0.362]",
E4,SoLEXS input coverage,<50%,10341,827,27,"0.904 [0.870, 0.932]","0.649 [0.502, 0.752]","0.769 [0.719, 0.814]","0.397 [0.324, 0.482]",
E4,SoLEXS input coverage,50-90%,698,19,23,"0.731 [0.460, 0.937]","0.415 [-0.081, 0.856]","0.676 [0.378, 0.896]","0.146 [0.102, 0.205]",fewer than 30 flare windows: indicative only
E4,SoLEXS input coverage,90-<100%,1082,111,30,"0.946 [0.929, 0.970]","0.740 [0.684, 0.824]","0.744 [0.664, 0.823]","0.116 [0.089, 0.146]",
E4,SoLEXS input coverage,100%,105064,8557,162,"0.951 [0.946, 0.956]","0.780 [0.766, 0.792]","0.832 [0.816, 0.848]","0.075 [0.071, 0.079]",
E4,HEL1OS input coverage,<50%,1861,283,9,"0.940 [0.898, 0.978]","0.772 [0.692, 0.893]","0.850 [0.736, 0.947]","0.094 [0.059, 0.123]",
E4,HEL1OS input coverage,50-90%,658,7,19,"0.905 [0.890, 0.926]","0.767 [-0.139, 0.833]","0.767 [0.694, 0.956]","0.083 [0.058, 0.131]",fewer than 30 flare windows: indicative only
E4,HEL1OS input coverage,90-<100%,14148,1225,166,"0.943 [0.931, 0.952]","0.763 [0.729, 0.790]","0.822 [0.795, 0.845]","0.115 [0.099, 0.131]",
E4,HEL1OS input coverage,100%,100518,7999,170,"0.948 [0.942, 0.952]","0.768 [0.747, 0.785]","0.824 [0.811, 0.837]","0.103 [0.089, 0.119]",
